Filename,Timestamp,UserID,Emotion,Gender,Age
Neutral_Female_(25-32)_2025-05-04_20-00-54.jpg,2025-05-04 20:00:54.299706,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-00-54.jpg,2025-05-04 20:00:54.646925,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-00-55.jpg,2025-05-04 20:00:55.142672,Neutral,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_20-00-55.jpg,2025-05-04 20:00:55.541143,Happy,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-00-56.jpg,2025-05-04 20:00:56.009562,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-00-56.jpg,2025-05-04 20:00:56.373475,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-00-56.jpg,2025-05-04 20:00:56.826562,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-00-57.jpg,2025-05-04 20:00:57.232228,Neutral,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_20-00-57.jpg,2025-05-04 20:00:57.667702,Happy,Female,(25-32)
Surprise_Female_(25-32)_2025-05-04_20-00-58.jpg,2025-05-04 20:00:58.056311,Surprise,Female,(25-32)
Sad_Female_(25-32)_2025-05-04_20-00-58.jpg,2025-05-04 20:00:58.432470,Sad,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-00-58.jpg,2025-05-04 20:00:58.916276,Neutral,Female,(25-32)
Surprise_Female_(25-32)_2025-05-04_20-00-59.jpg,2025-05-04 20:00:59.258101,Surprise,Female,(25-32)
Surprise_Female_(25-32)_2025-05-04_20-00-59.jpg,2025-05-04 20:00:59.675646,Surprise,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-01-00.jpg,2025-05-04 20:01:00.123377,Neutral,Female,(25-32)
Angry_Female_(4-6)_2025-05-04_20-01-00.jpg,2025-05-04 20:01:00.464290,Angry,Female,(4-6)
Neutral_Female_(25-32)_2025-05-04_20-01-00.jpg,2025-05-04 20:01:00.912768,Neutral,Female,(25-32)
Neutral_Female_(4-6)_2025-05-04_20-01-01.jpg,2025-05-04 20:01:01.333365,Neutral,Female,(4-6)
Neutral_Female_(25-32)_2025-05-04_20-01-01.jpg,2025-05-04 20:01:01.720774,Neutral,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_20-01-02.jpg,2025-05-04 20:01:02.074335,Angry,Female,(25-32)
Neutral_Female_(8-12)_2025-05-04_20-01-02.jpg,2025-05-04 20:01:02.559537,Neutral,Female,(8-12)
Neutral_Female_(25-32)_2025-05-04_20-01-02.jpg,2025-05-04 20:01:02.926906,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-01-03.jpg,2025-05-04 20:01:03.335916,Neutral,Female,(25-32)
Neutral_Female_(4-6)_2025-05-04_20-09-00.jpg,2025-05-04 20:09:00.004153,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-00.jpg,2025-05-04 20:09:00.417321,user_1,Neutral,Female,(4-6)
Fear_Female_(4-6)_2025-05-04_20-09-00.jpg,2025-05-04 20:09:00.978665,user_1,Fear,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-01.jpg,2025-05-04 20:09:01.415341,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-01.jpg,2025-05-04 20:09:01.810718,user_1,Neutral,Female,(4-6)
Neutral_Female_(8-12)_2025-05-04_20-09-02.jpg,2025-05-04 20:09:02.195824,user_1,Neutral,Female,(8-12)
Neutral_Female_(4-6)_2025-05-04_20-09-02.jpg,2025-05-04 20:09:02.731818,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-03.jpg,2025-05-04 20:09:03.113354,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-03.jpg,2025-05-04 20:09:03.655271,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-04.jpg,2025-05-04 20:09:04.049201,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-04.jpg,2025-05-04 20:09:04.519580,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-05.jpg,2025-05-04 20:09:05.145968,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-05.jpg,2025-05-04 20:09:05.746772,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-06.jpg,2025-05-04 20:09:06.150161,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-06.jpg,2025-05-04 20:09:06.642531,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-07.jpg,2025-05-04 20:09:07.014827,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-07.jpg,2025-05-04 20:09:07.724992,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-08.jpg,2025-05-04 20:09:08.107936,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-08.jpg,2025-05-04 20:09:08.580894,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-09.jpg,2025-05-04 20:09:09.155940,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-09.jpg,2025-05-04 20:09:09.746666,user_1,Neutral,Female,(4-6)
Fear_Female_(4-6)_2025-05-04_20-09-10.jpg,2025-05-04 20:09:10.227342,user_1,Fear,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-10.jpg,2025-05-04 20:09:10.540735,user_1,Neutral,Female,(4-6)
Happy_Female_(4-6)_2025-05-04_20-09-11.jpg,2025-05-04 20:09:11.024952,user_1,Happy,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-11.jpg,2025-05-04 20:09:11.462175,user_1,Neutral,Female,(4-6)
Fear_Female_(4-6)_2025-05-04_20-09-11.jpg,2025-05-04 20:09:11.848132,user_1,Fear,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-12.jpg,2025-05-04 20:09:12.286619,user_1,Neutral,Female,(4-6)
